apartment,month,previous_day,current_day,previous_night,current_night
1,7,300,360,250,280
2,7,400,450,300,350
3,7,490,500,370,410
4,7,580,610,450,480
5,7,360,420,290,320
1,8,330,390,280,310
2,8,430,490,350,380
3,8,520,580,410,440
4,8,610,670,480,510
5,8,390,450,340,370
1,9,360,490,300,330  
2,9,460,470,370,400
3,9,550,560,440,470
4,9,640,650,520,550
5,9,420,430,360,390
1,10,390,450,340,370
2,10,490,520,410,440  
3,10,580,610,480,510
4,10,670,700,550,580
5,10,450,480,390,420
1,11,420,480,360,390
2,11,520,580,440,470
3,11,610,680,490,520  
4,11,700,750,560,590
5,11,480,540,420,450
1,12,450,510,380,410
2,12,550,610,460,490
3,12,640,700,510,540
4,12,730,800,580,610  
5,12,370,430,310,340  
